Subzone,Total,Below 20 Years,20 to 49 Years,50 to 64 Years,65 Years & Above
ADMIRALTY,13540,2870,5870,3020,1780
AIRPORT ROAD,0,0,0,0,0
ALEXANDRA HILL,12890,1860,4470,2880,3680
ALEXANDRA NORTH,2870,650,1410,570,240
ALJUNIED,43220,6680,18190,9000,9350
ANAK BUKIT,22970,4560,8920,4690,4800
ANCHORVALE,51330,13670,23340,8850,5470
ANG MO KIO TOWN CENTRE,4860,930,1960,1060,910
ANSON,0,0,0,0,0
BAHAR,0,0,0,0,0
BALESTIER,32690,5350,13270,7200,6870
BANGKIT,21020,3020,8090,5320,4590
BAYFRONT SUBZONE,0,0,0,0,0
BAYSHORE,8010,1730,3180,1900,1200
BEDOK NORTH,81570,12340,30580,18940,19710
BEDOK RESERVOIR,25200,4750,10480,5490,4480
BEDOK SOUTH,48380,7700,18080,10730,11870
BENCOOLEN,1340,150,510,340,340
BENDEMEER,36820,6110,14900,7260,8550
BENOI SECTOR,0,0,0,0,0
BIDADARI,7560,1930,4200,760,670
BISHAN EAST,27480,4250,10610,5930,6690
BOAT QUAY,180,30,80,40,30
BOON KENG,12000,1640,4930,2530,2900
BOON LAY PLACE,29540,5890,12560,6440,4650
BOON TECK,14590,2500,5380,3050,3660
BOULEVARD,540,90,220,120,110
BRADDELL,9530,1600,3460,2140,2330
BRAS BASAH,0,0,0,0,0
BRICKLAND,0,0,0,0,0
BRICKWORKS,31100,9040,15210,4440,2410
BUGIS,1160,90,590,240,240
BUKIT BATOK CENTRAL,27340,4990,10910,5970,5470
BUKIT BATOK EAST,12070,1580,4600,2970,2920
BUKIT BATOK SOUTH,14530,2610,6220,3380,2320
BUKIT BATOK WEST,14370,2430,5770,3210,2960
BUKIT HO SWEE,13450,1770,4740,2980,3960
BUKIT MERAH,1010,140,350,240,280
CAIRNHILL,4630,1040,1930,990,670
CECIL,540,70,360,90,20
CENTRAL SUBZONE,1430,210,800,320,100
CENTRAL WATER CATCHMENT,0,0,0,0,0
CHANGI AIRPORT,0,0,0,0,0
CHANGI BAY,0,0,0,0,0
CHANGI POINT,560,40,140,170,210
CHANGI WEST,1420,490,700,150,80
CHATSWORTH,7730,1570,3370,1680,1110
CHENG SAN,26970,3760,10300,6140,6770
CHIN BEE,0,0,0,0,0
CHINA SQUARE,1310,80,410,320,500
CHINATOWN,10100,1630,4050,2150,2270
CHOA CHU KANG CENTRAL,21990,4240,9260,5390,3100
CHOA CHU KANG NORTH,30820,4930,12850,8600,4440
CHONG BOON,25160,3180,9050,5720,7210
CITY HALL,140,10,70,60,0
CITY TERMINALS,0,0,0,0,0
CLARKE QUAY,120,10,60,40,10
CLEANTECH,0,0,0,0,0
CLEMENTI CENTRAL,14540,2530,5470,3100,3440
CLEMENTI NORTH,30800,5220,12350,5960,7270
CLEMENTI WEST,14560,2210,5410,3420,3520
CLEMENTI WOODS,18840,3620,7790,3690,3740
CLIFFORD PIER,0,0,0,0,0
COMMONWEALTH,6560,710,2210,1740,1900
COMPASSVALE,21590,5500,10520,3290,2280
CONEY ISLAND,0,0,0,0,0
CORONATION ROAD,7480,1950,2970,1330,1230
CRAWFORD,7720,740,2290,2010,2680
DAIRY FARM,7880,1780,3410,1720,970
DEFU INDUSTRIAL PARK,0,0,0,0,0
DEPOT ROAD,6530,1330,2710,1310,1180
DHOBY GHAUT,540,80,320,100,40
DOVER,11290,2060,4230,2450,2550
DUNEARN,4040,890,1370,960,820
EAST COAST,0,0,0,0,0
EVERTON PARK,7520,910,3010,1620,1980
FABER,8090,2380,3790,1200,720
FAJAR,26440,5430,11250,5650,4110
FARRER COURT,7350,1940,3030,1390,990
FARRER PARK,2560,350,1030,570,610
FERNVALE,69020,17600,32370,11510,7540
FLORA DRIVE,16300,3150,6950,3800,2400
FOREST HILL,0,0,0,0,0
FORT CANNING,210,30,80,70,30
FRANKEL,35040,7540,13660,7360,6480
GALI BATU,0,0,0,0,0
GARDEN,270,30,170,40,30
GEYLANG BAHRU,10410,1180,3710,2740,2780
GEYLANG EAST,32850,5720,13970,6350,6810
GHIM MOH,13150,2370,5010,2430,3340
GOMBAK,9760,1790,4030,2160,1780
GOODWOOD PARK,1490,410,640,260,180
GREENWOOD PARK,0,0,0,0,0
GUILIN,12840,2230,5120,3160,2330
GUL BASIN,0,0,0,0,0
GUL CIRCLE,0,0,0,0,0
HENDERSON HILL,12770,1680,4440,2920,3730
HILLCREST,9880,2530,3700,2010,1640
HILLVIEW,20670,3620,8360,5360,3330
HOLLAND DRIVE,12010,1300,4290,2820,3600
HOLLAND ROAD,11640,2980,4430,2420,1810
HONG KAH,52270,8660,20630,11520,11460
HONG KAH NORTH,25180,3910,9830,6120,5320
HOUGANG CENTRAL,4740,700,1920,1110,1010
HOUGANG EAST,23810,4130,10350,5090,4240
HOUGANG WEST,43700,6100,17020,10430,10150
INSTITUTION HILL,3780,880,1780,700,420
INTERNATIONAL BUSINESS PARK,0,0,0,0,0
ISTANA NEGARA,0,0,0,0,0
JELEBU,29960,4550,12040,7540,5830
JOO KOON,0,0,0,0,0
JOO SENG,7940,1420,3300,1620,1600
JURONG GATEWAY,560,110,310,110,30
JURONG ISLAND AND BUKOM,0,0,0,0,0
JURONG PORT,0,0,0,0,0
JURONG RIVER,0,0,0,0,0
JURONG WEST CENTRAL,61940,12480,27440,13350,8670
KAKI BUKIT,35450,5310,14210,7870,8060
KALLANG BAHRU,0,0,0,0,0
KALLANG WAY,0,0,0,0,0
KAMPONG BUGIS,1620,290,830,220,280
KAMPONG GLAM,120,0,50,30,40
KAMPONG JAVA,10380,1550,4070,2330,2430
KAMPONG TIONG BAHRU,9790,1300,3640,2110,2740
KAMPONG UBI,13700,2260,6370,2540,2530
KANGKAR,34980,6950,15150,7040,5840
KATONG,9460,1760,3870,2050,1780
KEAT HONG,39370,9810,18810,7100,3650
KEBUN BAHRU,22000,3130,8080,5070,5720
KEMBANGAN,35890,5360,13490,7930,9110
KENT RIDGE,2260,550,1330,330,50
KHATIB,9820,1310,3790,2410,2310
KIAN TECK,0,0,0,0,0
KIM KEAT,8730,1230,3470,1850,2180
KOVAN,27320,5290,11420,5580,5030
KRANJI,0,0,0,0,0
LAKESIDE (BUSINESS),0,0,0,0,0
LAKESIDE (LEISURE),570,50,110,120,290
LAVENDER,10210,1620,4170,2270,2150
LEEDON PARK,6900,1480,2620,1520,1280
LEONIE HILL,3850,750,1700,900,500
LIM CHU KANG,0,0,0,0,0
LITTLE INDIA,3040,320,1120,710,890
LIU FANG,0,0,0,0,0
LORONG 8 TOA PAYOH,6720,750,2290,1660,2020
LORONG AH SOO,31600,4570,12260,7260,7510
LORONG CHUAN,8560,1620,3300,2000,1640
LORONG HALUS,0,0,0,0,0
LORONG HALUS NORTH,0,0,0,0,0
LOWER SELETAR,19160,5830,9330,2810,1190
LOYANG EAST,2050,300,760,530,460
LOYANG WEST,550,0,0,50,500
